,Name,BSE Code,NSE Code,MoneyControl Link,Rediff Link,Sector
99,Allahabad Bank [Merged],,ALBK,,https://money.rediff.com/companies/Allahabad-Bank-Merged/14030009,
100,Allcargo Logistics Ltd.,,ALLCARGO,,https://money.rediff.com/companies/Allcargo-Logistics-Ltd/17110005,
101,Allied Digital Services Ltd.,,ADSL,,https://money.rediff.com/companies/Allied-Digital-Services-Ltd/13240040,
102,Allied Resins & Chemicals Ltd.[Amalgamated],,ALLIEDRESBE,,https://money.rediff.com/companies/Allied-Resins-Chemicals-Ltd-Amalgamated/12070028,
103,Allsec Technologies Ltd.,,ALLSEC,,https://money.rediff.com/companies/Allsec-Technologies-Ltd/13240027,
104,Almondz Global Securities Ltd.,,ALMONDZ,,https://money.rediff.com/companies/Almondz-Global-Securities-Ltd/14090206,
105,Alok Industries Ltd.,,ALOKINDS,,https://money.rediff.com/companies/Alok-Industries-Ltd/16010040,
106,Alpa Laboratories Ltd.,,ALPA,,https://money.rediff.com/companies/Alpa-Laboratories-Ltd/12540643,
107,Alphageo (India) Ltd.,,ALPHAGEO,,https://money.rediff.com/companies/Alphageo-India-Ltd/17020072,
108,Alpine Housing Development Corporation Ltd.,,ALPINEHOUBE,,https://money.rediff.com/companies/Alpine-Housing-Development-Corporation-Ltd/11610120,
109,Alpine Industries Ltd.,,ALPINEINDBE,,https://money.rediff.com/companies/Alpine-Industries-Ltd/11070002,
110,Alps Industries Ltd.,,ALPSINDUSBE,,https://money.rediff.com/companies/Alps-Industries-Ltd/17020322,
111,Alsa Marine & Harvests Ltd.,,ALSAMARINEBE,,https://money.rediff.com/companies/Alsa-Marine-Harvests-Ltd/11110001,
112,Amar Remedies Ltd.,,AMARBE,,https://money.rediff.com/companies/Amar-Remedies-Ltd/12540415,
113,Amara Raja Batteries Ltd.,,AMARAJABAT,,https://money.rediff.com/companies/Amara-Raja-Batteries-Ltd/13150010,
114,Amarjothi Spinning Mills Ltd.,,AMARJOTHI,,https://money.rediff.com/companies/Amarjothi-Spinning-Mills-Ltd/16030037,
115,Ambalal Sarabhai Enterprises Ltd.,,AMBASARABH,,https://money.rediff.com/companies/Ambalal-Sarabhai-Enterprises-Ltd/12540003,
116,Ambani Organics Ltd.,,AMBANIORGSM,,https://money.rediff.com/companies/Ambani-Organics-Ltd/12070174,
117,Amber Enterprises India Ltd.,,AMBER,,https://money.rediff.com/companies/Amber-Enterprises-India-Ltd/13210012,
118,Ambica Agarbathies & Aroma Industries Ltd.,,AMBICAAGAR,,https://money.rediff.com/companies/Ambica-Agarbathies-Aroma-Industries-Ltd/17020394,
119,Ambika Cotton Mills Ltd.,,AMBIKCO,,https://money.rediff.com/companies/Ambika-Cotton-Mills-Ltd/16030178,
120,Ambuja Cement Eastern Ltd.,,MODICEMENTBE,,https://money.rediff.com/companies/Ambuja-Cement-Eastern-Ltd/11510008,
121,Ambuja Cement Rajasthan Ltd..,,AMBUJARAJN,,https://money.rediff.com/companies/Ambuja-Cement-Rajasthan-Ltd/11510048,
122,Ambuja Cements Ltd.,,AMBUJACEM,,https://money.rediff.com/companies/Ambuja-Cements-Ltd/11510005,
123,AMD Industries Ltd.,,AMDIND,,https://money.rediff.com/companies/AMD-Industries-Ltd/14620011,
124,Amforge Industries Ltd.,,AMFORGEINDBE,,https://money.rediff.com/companies/Amforge-Industries-Ltd/13570001,
125,Amit Spinning Industries Ltd.,,ASIL,,https://money.rediff.com/companies/Amit-Spinning-Industries-Ltd/16030039,
